Unit Name,DRG,Total
ANDALUSIA HEALTH                ,57,"$34,152 "
,64,"$42,807 "
,65,"$39,644 "
,66,"$34,447 "
,69,"$30,692 "
,70,"$48,665 "
,71,"$41,334 "
,72,"$55,820 "
,73,"$26,682 "
,74,"$44,662 "
,78,"$57,720 "
,86,"$40,580 "
,90,"$32,575 "
,91,"$49,927 "
,92,"$39,833 "
,93,"$33,156 "
,98,"$18,600 "
,100,"$75,929 "
,101,"$18,401 "
,102,"$20,854 "
,103,"$28,063 "
,125,"$14,881 "
,146,"$73,092 "
,149,"$20,984 "
,151,"$21,819 "
,153,"$16,840 "
,154,"$60,925 "
,156,"$43,556 "
,158,"$32,809 "
,166,"$114,718 "
,167,"$31,188 "
,175,"$23,545 "
,176,"$35,561 "
,177,"$78,586 "
,178,"$57,574 "
,180,"$42,385 "
,181,"$39,096 "
,184,"$48,327 "
,186,"$69,072 "
,187,"$24,033 "
,189,"$46,356 "
,190,"$45,191 "
,191,"$34,709 "
,192,"$24,416 "
,193,"$49,762 "
,194,"$32,318 "
,195,"$13,268 "
,200,"$41,219 "
,201,"$24,547 "
,202,"$18,877 "
,203,"$12,793 "
,204,"$11,131 "
,205,"$49,134 "
,206,"$28,639 "
,208,"$57,679 "
,240,"$40,901 "
,242,"$105,477 "
,243,"$69,572 "
,244,"$64,634 "
,255,"$54,672 "
,256,"$32,641 "
,258,"$95,620 "
,262,"$48,104 "
,280,"$33,864 "
,281,"$28,813 "
,282,"$15,628 "
,283,"$27,134 "
,284,"$18,249 "
,291,"$35,766 "
,292,"$27,636 "
,293,"$22,316 "
,296,"$19,556 "
,299,"$51,205 "
,300,"$11,212 "
,301,"$15,832 "
,303,"$25,675 "
,304,"$37,329 "
,305,"$23,240 "
,308,"$37,476 "
,309,"$29,891 "
,310,"$17,318 "
,311,"$9,875 "
,312,"$28,659 "
,313,"$21,664 "
,314,"$45,392 "
,315,"$33,458 "
,326,"$162,371 "
,327,"$53,599 "
,329,"$130,393 "
,330,"$62,226 "
,335,"$134,708 "
,336,"$70,178 "
,339,"$122,977 "
,340,"$37,432 "
,342,"$84,804 "
,343,"$33,430 "
,358,"$17,456 "
,372,"$49,662 "
,373,"$38,080 "
,375,"$59,720 "
,377,"$45,845 "
,378,"$39,312 "
,379,"$17,023 "
,383,"$24,507 "
,384,"$29,720 "
,388,"$63,664 "
,389,"$29,802 "
,390,"$16,790 "
,391,"$41,463 "
,392,"$30,634 "
,393,"$77,872 "
,394,"$43,918 "
,395,"$17,256 "
,418,"$54,265 "
,419,"$39,271 "
,432,"$34,088 "
,438,"$48,840 "
,439,"$35,931 "
,440,"$33,870 "
,442,"$31,261 "
,444,"$20,443 "
,445,"$42,406 "
,446,"$21,466 "
,467,"$126,322 "
,468,"$75,821 "
,469,"$70,530 "
,470,"$71,992 "
,480,"$112,895 "
,481,"$68,436 "
,482,"$64,519 "
,483,"$74,556 "
,486,"$75,254 "
,493,"$99,563 "
,494,"$79,178 "
,507,"$101,049 "
,536,"$25,555 "
,546,"$26,919 "
,549,"$23,760 "
,552,"$31,724 "
,557,"$31,728 "
,560,"$15,360 "
,561,"$16,346 "
,563,"$44,020 "
,570,"$55,810 "
,571,"$40,021 "
,572,"$20,988 "
,578,"$35,290 "
,580,"$46,258 "
,581,"$26,066 "
,597,"$22,492 "
,598,"$18,193 "
,602,"$72,381 "
,603,"$32,490 "
,605,"$32,045 "
,607,"$22,092 "
,617,"$41,729 "
,623,"$37,921 "
,624,"$37,577 "
,628,"$66,493 "
,629,"$51,118 "
,637,"$51,884 "
,638,"$24,209 "
,639,"$19,613 "
,640,"$29,727 "
,641,"$13,786 "
,643,"$23,338 "
,644,"$17,875 "
,645,"$21,737 "
,661,"$38,158 "
,669,"$62,649 "
,673,"$147,083 "
,675,"$56,453 "
,682,"$37,100 "
,683,"$35,135 "
,684,"$13,455 "
,687,"$25,981 "
,689,"$38,501 "
,690,"$35,187 "
,692,"$42,611 "
,694,"$21,469 "
,696,"$24,620 "
,699,"$40,770 "
,707,"$73,873 "
,708,"$49,233 "
,722,"$56,841 "
,725,"$111,785 "
,727,"$53,777 "
,728,"$14,552 "
,743,"$31,726 "
,758,"$29,679 "
,759,"$31,756 "
,761,"$12,824 "
,768,"$28,285 "
,769,"$55,359 "
,776,"$8,008 "
,779,"$9,828 "
,784,"$27,904 "
,785,"$28,071 "
,786,"$29,106 "
,787,"$31,445 "
,788,"$30,278 "
,789,"$5,531 "
,790,"$5,888 "
,792,"$4,414 "
,793,"$10,398 "
,794,"$4,497 "
,795,"$3,423 "
,797,"$38,489 "
,798,"$38,246 "
,805,"$25,139 "
,806,"$26,519 "
,807,"$25,339 "
,808,"$13,625 "
,809,"$22,848 "
,811,"$42,275 "
,812,"$25,457 "
,815,"$35,370 "
,816,"$11,078 "
,831,"$18,179 "
,832,"$14,679 "
,833,"$6,672 "
,841,"$59,307 "
,853,"$115,282 "
,854,"$49,399 "
,863,"$18,035 "
,864,"$7,971 "
,865,"$86,314 "
,866,"$12,174 "
,871,"$57,296 "
,872,"$36,508 "
,884,"$49,752 "
,885,"$57,136 "
,894,"$60,084 "
,897,"$24,214 "
,903,"$9,058 "
,914,"$33,899 "
,916,"$8,406 "
,917,"$45,715 "
,918,"$17,674 "
,920,"$26,873 "
,923,"$47,317 "
,941,"$32,354 "
,947,"$34,664 "
,948,"$32,580 "
,951,"$6,526 "
,981,"$118,349 "
,982,"$49,824 "
,987,"$74,294 "
,988,"$59,250 "
,998,"$4,778 "
